[Run 001] Epoch 001, Avg Reward: -5.93
[Run 001] Epoch 002, Avg Reward: -5.57
[Run 001] Epoch 003, Avg Reward: -5.75
[Run 001] Epoch 004, Avg Reward: -5.63
[Run 001] Epoch 005, Avg Reward: -5.54
[Run 001] Epoch 006, Avg Reward: -4.68
[Run 001] Epoch 007, Avg Reward: -4.86
[Run 001] Epoch 008, Avg Reward: -5.13
[Run 001] Epoch 009, Avg Reward: -4.96
[Run 001] Epoch 010, Avg Reward: -4.96
[Run 001] Epoch 011, Avg Reward: -4.47
[Run 001] Epoch 012, Avg Reward: -4.59
[Run 001] Epoch 013, Avg Reward: -4.76
[Run 001] Epoch 014, Avg Reward: -4.13
[Run 001] Epoch 015, Avg Reward: -4.31
[Run 001] Epoch 016, Avg Reward: -4.62
[Run 001] Epoch 017, Avg Reward: -4.55
[Run 001] Epoch 018, Avg Reward: -4.18
[Run 001] Epoch 019, Avg Reward: -4.28
[Run 001] Epoch 020, Avg Reward: -3.94
[Run 001] Epoch 021, Avg Reward: -3.96
[Run 001] Epoch 022, Avg Reward: -3.81
[Run 001] Epoch 023, Avg Reward: -3.69
[Run 001] Epoch 024, Avg Reward: -3.83
[Run 001] Epoch 025, Avg Reward: -3.74
[Run 001] Epoch 026, Avg Reward: -3.49
[Run 001] Epoch 027, Avg Reward: -3.76
[Run 001] Epoch 028, Avg Reward: -3.85
[Run 001] Epoch 029, Avg Reward: -3.88
[Run 001] Epoch 030, Avg Reward: -3.53
[Run 001] Epoch 031, Avg Reward: -3.40
[Run 001] Epoch 032, Avg Reward: -3.69
[Run 001] Epoch 033, Avg Reward: -3.42
[Run 001] Epoch 034, Avg Reward: -3.30
[Run 001] Epoch 035, Avg Reward: -3.24
[Run 001] Epoch 036, Avg Reward: -3.33
[Run 001] Epoch 037, Avg Reward: -2.95
[Run 001] Epoch 038, Avg Reward: -2.76
[Run 001] Epoch 039, Avg Reward: -3.00
[Run 001] Epoch 040, Avg Reward: -2.95
[Run 001] Epoch 041, Avg Reward: -2.64
[Run 001] Epoch 042, Avg Reward: -2.75
[Run 001] Epoch 043, Avg Reward: -2.81
[Run 001] Epoch 044, Avg Reward: -2.64
[Run 001] Epoch 045, Avg Reward: -2.64
[Run 001] Epoch 046, Avg Reward: -2.61
[Run 001] Epoch 047, Avg Reward: -2.78
[Run 001] Epoch 048, Avg Reward: -2.34
[Run 001] Epoch 049, Avg Reward: -2.45
[Run 001] Epoch 050, Avg Reward: -2.07
[Run 001] Epoch 051, Avg Reward: -1.95
[Run 001] Epoch 052, Avg Reward: -2.08
[Run 001] Epoch 053, Avg Reward: -1.70
[Run 001] Epoch 054, Avg Reward: -1.87
[Run 001] Epoch 055, Avg Reward: -1.76
[Run 001] Epoch 056, Avg Reward: -2.06
[Run 001] Epoch 057, Avg Reward: -2.00
[Run 001] Epoch 058, Avg Reward: -1.78
[Run 001] Epoch 059, Avg Reward: -2.10
[Run 001] Epoch 060, Avg Reward: -2.10
[Run 001] Epoch 061, Avg Reward: -1.61
[Run 001] Epoch 062, Avg Reward: -1.54
[Run 001] Epoch 063, Avg Reward: -1.21
[Run 001] Epoch 064, Avg Reward: -1.94
[Run 001] Epoch 065, Avg Reward: -1.72
[Run 001] Epoch 066, Avg Reward: -1.61
[Run 001] Epoch 067, Avg Reward: -2.01
[Run 001] Epoch 068, Avg Reward: -1.89
[Run 001] Epoch 069, Avg Reward: -2.58
[Run 001] Epoch 070, Avg Reward: -1.90
[Run 001] Epoch 071, Avg Reward: -1.72
[Run 001] Epoch 072, Avg Reward: -1.47
[Run 001] Epoch 073, Avg Reward: -2.22
[Run 001] Epoch 074, Avg Reward: -1.51
[Run 001] Epoch 075, Avg Reward: -1.85
[Run 001] Epoch 076, Avg Reward: -2.60
[Run 001] Epoch 077, Avg Reward: -1.88
[Run 001] Epoch 078, Avg Reward: -1.45
[Run 001] Epoch 079, Avg Reward: -2.48
[Run 001] Epoch 080, Avg Reward: -1.72
[Run 001] Epoch 081, Avg Reward: -1.48
[Run 001] Epoch 082, Avg Reward: -1.30
[Run 001] Epoch 083, Avg Reward: -1.32
[Run 001] Epoch 084, Avg Reward: -1.46
[Run 001] Epoch 085, Avg Reward: -1.94
[Run 001] Epoch 086, Avg Reward: -1.29
[Run 001] Epoch 087, Avg Reward: -1.16
[Run 001] Epoch 088, Avg Reward: -1.93
[Run 001] Epoch 089, Avg Reward: -1.67
[Run 001] Epoch 090, Avg Reward: -1.88
[Run 001] Epoch 091, Avg Reward: -1.81
[Run 001] Epoch 092, Avg Reward: -1.46
[Run 001] Epoch 093, Avg Reward: -1.53
[Run 001] Epoch 094, Avg Reward: -2.19
[Run 001] Epoch 095, Avg Reward: -2.31
[Run 001] Epoch 096, Avg Reward: -2.67
[Run 001] Epoch 097, Avg Reward: -2.10
[Run 001] Epoch 098, Avg Reward: -2.10
[Run 001] Epoch 099, Avg Reward: -1.18
[Run 001] Epoch 100, Avg Reward: -1.73
[Run 002] Epoch 001, Avg Reward: -6.49
[Run 002] Epoch 002, Avg Reward: -6.21
[Run 002] Epoch 003, Avg Reward: -5.60
[Run 002] Epoch 004, Avg Reward: -5.81
[Run 002] Epoch 005, Avg Reward: -5.64
[Run 002] Epoch 006, Avg Reward: -5.06
[Run 002] Epoch 007, Avg Reward: -5.61
[Run 002] Epoch 008, Avg Reward: -5.68
[Run 002] Epoch 009, Avg Reward: -5.49
[Run 002] Epoch 010, Avg Reward: -5.22
[Run 002] Epoch 011, Avg Reward: -5.16
[Run 002] Epoch 012, Avg Reward: -5.20
[Run 002] Epoch 013, Avg Reward: -4.64
[Run 002] Epoch 014, Avg Reward: -4.83
[Run 002] Epoch 015, Avg Reward: -4.65
[Run 002] Epoch 016, Avg Reward: -4.73
[Run 002] Epoch 017, Avg Reward: -4.88
[Run 002] Epoch 018, Avg Reward: -4.27
[Run 002] Epoch 019, Avg Reward: -4.39
[Run 002] Epoch 020, Avg Reward: -4.86
[Run 002] Epoch 021, Avg Reward: -4.35
[Run 002] Epoch 022, Avg Reward: -4.36
[Run 002] Epoch 023, Avg Reward: -4.30
[Run 002] Epoch 024, Avg Reward: -4.31
[Run 002] Epoch 025, Avg Reward: -3.91
[Run 002] Epoch 026, Avg Reward: -3.91
[Run 002] Epoch 027, Avg Reward: -3.94
[Run 002] Epoch 028, Avg Reward: -3.66
[Run 002] Epoch 029, Avg Reward: -3.56
[Run 002] Epoch 030, Avg Reward: -3.59
[Run 002] Epoch 031, Avg Reward: -3.49
[Run 002] Epoch 032, Avg Reward: -3.40
[Run 002] Epoch 033, Avg Reward: -3.44
[Run 002] Epoch 034, Avg Reward: -3.24
[Run 002] Epoch 035, Avg Reward: -3.09
[Run 002] Epoch 036, Avg Reward: -3.15
[Run 002] Epoch 037, Avg Reward: -2.93
[Run 002] Epoch 038, Avg Reward: -2.61
[Run 002] Epoch 039, Avg Reward: -2.45
[Run 002] Epoch 040, Avg Reward: -2.02
[Run 002] Epoch 041, Avg Reward: -1.98
[Run 002] Epoch 042, Avg Reward: -1.65
[Run 002] Epoch 043, Avg Reward: -1.95
[Run 002] Epoch 044, Avg Reward: -2.16
[Run 002] Epoch 045, Avg Reward: -1.50
[Run 002] Epoch 046, Avg Reward: -1.54
[Run 002] Epoch 047, Avg Reward: -1.76
[Run 002] Epoch 048, Avg Reward: -1.48
[Run 002] Epoch 049, Avg Reward: -1.95
[Run 002] Epoch 050, Avg Reward: -1.34
